_id,colCode,colName,branCode,branName
6457ad9abd452186e59e3504,1051003,"Government Arts College, Ariyalur - 621713",CCOE2,B.Com. (Commerce) (E/M) ( 2ND SHIFT )
6457ad9abd452186e59e3507,1051004,"Rajah Serfoji Government College(Autonomous), Thanjavur - 613005",LENE1,B.A. English ( 1ST SHIFT )
6457ad9abd452186e59e351b,1051004,"Rajah Serfoji Government College(Autonomous), Thanjavur - 613005",SCSE2,B.Sc. Computer Science (E/M) ( 2ND SHIFT )
6457ad9abd452186e59e3509,1051004,"Rajah Serfoji Government College(Autonomous), Thanjavur - 613005",AECT1,B.A. Economics (T/M) ( 1ST SHIFT )
6457ad9abd452186e59e350d,1051004,"Rajah Serfoji Government College(Autonomous), Thanjavur - 613005",SMAT1,B.Sc. Mathematics (T/M) ( 1ST SHIFT )
6457ad9abd452186e59e351d,1052005,"Kunthavai Naacchiyaar Government Arts College for Women(Autonomous), Thanjavur - 613007",LENE1,B.A. English ( 1ST SHIFT )
6457ad9abd452186e59e351a,1051004,"Rajah Serfoji Government College(Autonomous), Thanjavur - 613005",CBAE2,B.B.A. Business Administration (E/M) ( 2ND SHIFT )
6457ad9abd452186e59e351f,1052005,"Kunthavai Naacchiyaar Government Arts College for Women(Autonomous), Thanjavur - 613007",AHIE1,B.A. History (E/M) ( 1ST SHIFT )
6457ad9abd452186e59e3521,1052005,"Kunthavai Naacchiyaar Government Arts College for Women(Autonomous), Thanjavur - 613007",AECE1,B.A. Economics (E/M) ( 1ST SHIFT )
6457ad9abd452186e59e34e3,1052002,Government College for Women(Autonomous) Kumbakonam- 612001,SGEE1,B.Sc. Geography (E/M) ( 1ST SHIFT )
6457ad9abd452186e59e3522,1052005,"Kunthavai Naacchiyaar Government Arts College for Women(Autonomous), Thanjavur - 613007",CCOE1,B.Com. (Commerce) (E/M) ( 1ST SHIFT )
6457ad9abd452186e59e34c7,1051001,"Government Arts College (Autonomous), Kumbakonam- 612002",SGET1,B.Sc. Geography (T/M) ( 1ST SHIFT )
6457ad9abd452186e59e34cd,1051001,"Government Arts College (Autonomous), Kumbakonam- 612002",SCAE1,B.C.A. Bachelor of Computer Application (E/M) ( 1ST SHIFT )
6457ad9abd452186e59e3528,1052005,"Kunthavai Naacchiyaar Government Arts College for Women(Autonomous), Thanjavur - 613007",SBOE1,B.Sc. Botany  (E/M) ( 1ST SHIFT )
6457ad9abd452186e59e352a,1052005,"Kunthavai Naacchiyaar Government Arts College for Women(Autonomous), Thanjavur - 613007",SSTE1,B.Sc. Statistics (E/M) ( 1ST SHIFT )
